ticker,strategy,cagr,sharpe,max_drawdown,calmar,annualized_vol,num_trades,win_rate,profit_factor,avg_trade_pnl,n_folds
spy.us,ma_crossover,0.06360302615318703,0.5807057853172578,-0.2836465954600109,0.22423334942567258,0.11856139865750573,22.0,0.5909090909090909,1.910979773499958,2033.9067614332168,13.0
spy.us,rsi_mean_reversion,-0.025773370212233693,-0.1586767810825514,-0.2971177515317358,-0.08674463265612314,0.11962190052986456,15.0,0.5333333333333333,0.45524708110514706,-1045.127977787143,13.0
spy.us,donchian_breakout,0.051478377060192315,0.51359291565929,-0.16264171150650075,0.3165139900666548,0.10966713855953282,44.0,0.4772727272727273,1.6160246279120378,712.6605280236765,13.0
spy.us,buy_and_hold,0.13171363096419797,0.7356305311410203,-0.32625996625435016,0.40370760923059396,0.19431076407610046,1.0,1.0,inf,123372.49676287532,1.0
aapl.us,ma_crossover,0.15035873345953243,0.7758558792163288,-0.3343475391747126,0.4497079112072148,0.20909402465700636,27.0,0.4444444444444444,2.383439103592069,4236.662552513715,13.0
aapl.us,rsi_mean_reversion,0.06691144473911237,0.4735391053823934,-0.24798852564626694,0.2698166964166538,0.165673556759079,18.0,0.7222222222222222,8.49838805615132,2409.654616112831,13.0
aapl.us,donchian_breakout,0.1341420817018033,0.7871411618810733,-0.3087856305875277,0.4344181477828829,0.18105190976266516,43.0,0.5348837209302325,2.104512066297074,2090.955540419696,13.0
aapl.us,buy_and_hold,0.2880013802791874,0.9839909578403997,-0.3310245221105602,0.8700303483347276,0.304985031417655,1.0,1.0,inf,417699.4909056108,1.0
qqq.us,ma_crossover,0.08959732563239409,0.6253576781428877,-0.24644502414599523,0.36355907749760935,0.15743069099471932,24.0,0.5416666666666666,2.0451778956114235,2441.2946379813607,13.0
qqq.us,rsi_mean_reversion,0.060866436815875335,0.519420996851271,-0.2141143394140188,0.2842707171432452,0.1302883064135398,17.0,0.8235294117647058,17.39395370542742,2225.1498391460927,13.0
qqq.us,donchian_breakout,0.09926593850055365,0.8139910312207755,-0.19389261551449588,0.5119634816269333,0.1263570137453515,36.0,0.6388888888888888,2.510432468386128,1789.06801149474,13.0
qqq.us,buy_and_hold,0.1912719749411811,0.8551104135297479,-0.3477366248618178,0.5500484023423993,0.23846185413907534,1.0,1.0,inf,211724.34462005165,1.0
tlt.us,ma_crossover,0.0016161705345949517,0.06740669965424988,-0.17817867231889128,0.009070504979981256,0.10381497013483351,17.0,0.35294117647058826,1.066068095275321,110.66343626925084,13.0
tlt.us,rsi_mean_reversion,-0.017861167033483394,-0.29974707899197744,-0.20535998101367436,-0.08697491568376249,0.05516945531973635,12.0,0.6666666666666666,0.5439125607398756,-953.9079308641467,13.0
tlt.us,donchian_breakout,-0.024350670046167644,-0.24608499529423117,-0.2787731622782057,-0.08734940568585488,0.08551937243417564,34.0,0.3235294117647059,0.613271432818749,-535.4984779471455,13.0
tlt.us,buy_and_hold,-0.05968065829395075,-0.3069194802461878,-0.4976475663364768,-0.11992555039161708,0.15946466104267473,1.0,0.0,0.0,-33001.60158243771,1.0
