entry_date,entry_price,side,shares,exit_date,exit_price,exit_reason,commission_paid,slippage_paid,pnl,pnl_pct
2020-02-28,64.34715994262694,1,1477.1048183749836,2020-04-07,67.66614694976808,signal,97.49874585018605,97.4999958480824,4707.4929586738635,0.05157938610034063
2021-02-26,122.65129133605956,1,774.9408829261625,2021-03-17,123.98797805023194,signal,95.56542659123821,95.56570944594259,844.7220464392401,0.010898268575990189
2021-09-20,143.8719030532837,1,660.6397634484523,2021-10-15,143.69811927032472,signal,94.9900957613674,94.99009080675711,-304.78866383331143,-0.0012079063338350515
2022-01-21,164.50220816802977,1,577.7885966303522,2022-01-31,170.07492366027833,signal,96.65742573184323,96.65825485925711,3026.535783095419,0.033876235184371106
2022-02-24,152.6562918319702,1,642.069951241262,2022-03-03,168.3857662200928,signal,103.06572927994125,103.0682799027091,9893.288844249895,0.10303849385674924
2022-04-27,155.98795866394042,1,689.2666992484886,2022-05-05,163.7680811004639,signal,110.1985950465897,110.19996324138586,5142.180753283666,0.04987642958572791
2022-06-14,133.1965698852539,1,844.6881331048368,2022-06-24,139.83004389953615,signal,115.3111703429048,115.31259997522453,5372.593010805397,0.049802138448436395
2022-09-01,156.71831938934326,1,606.4862127819829,2022-09-13,159.82004389953613,signal,95.98807657563995,95.98857086107324,1689.1765038432093,0.01979171626060583
2022-09-30,141.35063877868652,1,684.4274324494038,2022-10-19,141.61915744018555,signal,96.83614554340681,96.83621569784074,-9.890823186715863,0.00189966358708471
2022-12-20,131.45569438934325,1,736.5743617735287,2023-01-04,126.36000061035156,end_of_data,48.41344709816327,48.38925247191894,-3850.160092624226,-0.03876358344659725
2023-01-06,126.07300713729857,1,753.9084071857621,2023-01-11,131.18437500000002,signal,96.97425160195485,96.97523922154585,3659.5537130862367,0.04054292016002248
2023-08-08,179.77984744262693,1,528.6882893274924,2023-08-30,184.84753244018555,signal,96.38711285610492,96.38780675947336,2486.4507925942835,0.02818828177710997
2024-01-08,182.18104133605956,1,521.7200390498975,2024-01-19,189.23533683013918,signal,96.88768366032036,96.8886279742966,3486.591009006114,0.038721347964341346
2024-03-05,170.84537450408934,1,576.272597919251,2024-03-21,176.96147805023193,signal,100.2157792477983,100.21668543767883,3324.1104149932607,0.03579905844039222
2025-01-13,233.6467637786865,1,406.79998499799603,2025-01-29,234.00293511962892,signal,95.11994524807605,95.1200052506903,-45.34945434667779,0.0015244009169319561
2025-03-11,223.92190255737304,1,424.67844627215686,2025-03-25,220.65961927032473,signal,94.40209496554883,94.4017722106338,-1574.2252648194876,-0.01456884409157988
2025-04-04,193.98694438934325,1,482.961730879142,2025-04-15,201.7590706100464,signal,95.56509019631406,95.56605249770155,3562.5083894679387,0.04006520255870427
2025-05-27,198.39915305328367,1,489.7459351016731,2025-06-04,202.80854866027832,signal,98.24492052285078,98.24548495510535,1962.993169302848,0.022224871120344103
