entry_date,entry_price,side,shares,exit_date,exit_price,exit_reason,commission_paid,slippage_paid,pnl,pnl_pct
2019-07-08,189.90490255737305,1,500.50050693812267,2019-08-07,181.1793692703247,signal,92.86393308326342,92.86286451551914,-4552.86063107194,-0.04594685639783436
2019-09-10,190.2550836639404,1,477.29806675354274,2019-09-30,187.69609828948975,signal,90.19768423679434,90.19740143643898,-1401.7938577491225,-0.013450286453163818
2019-10-14,190.93541633605955,1,469.0682624505012,2020-01-03,214.17999267578125,end_of_data,44.78087199050925,44.75849274412599,10813.753670336655,0.1217405172166155
2020-01-07,215.74781938934325,1,440.54906450050925,2020-03-12,181.99895133972169,signal,87.61348387639404,87.60978877077133,-15043.25551985907,-0.15642738890777674
2020-04-16,211.79584744262695,1,381.65305694031827,2020-07-02,252.19000244140625,end_of_data,40.41626631187194,40.39606827773203,15335.740403215554,0.19072212928877952
2020-07-07,258.2590698852539,1,368.0316050167384,2020-09-22,269.85499523925785,signal,97.18133350984418,97.18242472218822,4073.3032614563326,0.04490036055328517
2020-10-09,283.25154034423826,1,349.55305896038897,2020-11-02,271.7140811004639,signal,96.99496529692445,96.99398130686454,-4226.943117895939,-0.040732203008508994
2020-11-10,285.3125984344482,1,333.26964704230346,2021-01-04,309.30999755859375,end_of_data,47.54301448848551,47.51925486104256,7902.542466687739,0.08410914644436573
2021-01-06,307.1535,1,309.44625407166126,2021-03-05,306.6465877990723,signal,94.96906895913986,94.96905348588125,-346.80020416532824,-0.0016503546302670813
2021-04-09,333.84683267211915,1,283.9869410418275,2021-05-18,325.2273196411133,signal,93.58422621758518,93.58363765620766,-2634.9970028193156,-0.025818765336232286
2021-06-02,333.41662499999995,1,277.1085302624143,2021-07-02,358.6400146484375,end_of_data,46.196295459402265,46.173208854961935,6897.24692940036,0.07565126558532453
2021-07-07,362.63123721313474,1,262.1051091198089,2022-01-04,396.4700012207031,end_of_data,47.52374999999999,47.499999999992966,8774.28918268318,0.09331453149933644
2022-01-06,382.6112234344482,1,248.41796104887194,2022-01-21,359.2902662200928,signal,92.15082767955093,92.14940238072842,-5977.644870958433,-0.06095209911779009
2022-08-04,323.1314862213135,1,294.14496591304555,2022-09-01,296.5716412200928,signal,91.14127764873008,91.13934732239275,-7994.7253275109615,-0.08219516244551239
2023-02-16,304.5321948852539,1,312.10985766484686,2023-07-03,370.2900085449219,end_of_data,47.52375,47.499999999993896,20428.638111670505,0.21593058062200998
2023-07-06,366.69326477050777,1,259.2016519842129,2024-01-04,396.2799987792969,end_of_data,47.52374999999999,47.49999999998821,7573.906581895642,0.08068523982109599
2024-01-08,398.1889852294922,1,238.69947066772914,2024-04-23,420.5596040191651,signal,97.71742743180224,97.71878682520247,5144.418649347474,0.05618090811020249
2024-05-22,456.288027557373,1,219.22560869092405,2024-07-03,491.0400085449219,end_of_data,50.01501028982311,49.99001528217774,7518.519159638815,0.07616237746492094
2024-07-08,496.7782637786865,1,191.3278155067256,2025-01-03,518.5800170898438,end_of_data,47.52375,47.49999999999435,4076.2580852402452,0.04388628670128347
2025-01-07,525.8528218688964,1,180.74924398465407,2025-03-11,472.11383110046387,signal,90.19085902305375,90.18845324966273,-9893.6612661652,-0.10219397621076287
2025-05-14,517.0284045410156,1,165.81205872866747,2025-07-03,556.219970703125,end_of_data,42.86477208907206,42.84335041385457,6412.72614763722,0.07580157263680931
2025-07-08,553.6566948852538,1,171.67226708908257,2025-11-20,611.314185119629,signal,99.9965960316009,99.99909557936795,9698.19637159085,0.10413942568927981
2025-12-02,619.7697519836425,1,168.38582312647776,2025-12-18,609.4950877990723,signal,103.49538594362512,103.49497929041624,-1937.0981513010465,-0.01657819561487961
2025-12-26,624.9723031311034,1,164.19550970119585,2026-01-02,613.1199951171875,end_of_data,51.3088229308709,51.28318134018916,-2048.6877597515568,-0.018964533235370618
