entry_date,entry_price,side,shares,exit_date,exit_price,exit_reason,commission_paid,slippage_paid,pnl,pnl_pct
2020-06-08,155.14754232788084,1,612.6265268136281,2020-06-11,163.168375,signal,97.5043874310368,97.50564025115334,4718.76483439144,0.05169809686813043
2020-08-17,164.05198622131346,1,579.374271468903,2020-08-24,166.23684732055665,signal,95.68042615381738,95.68076653706919,1074.491114943885,0.013318102081956606
2020-10-06,159.4096668319702,1,603.2238886767777,2020-10-14,162.24883683013917,signal,97.01604670250559,97.01649912041592,1518.6226210869959,0.017810525889635276
2020-10-23,156.88840255737304,1,622.7059624506229,2020-10-28,161.2993148803711,signal,99.06869441351866,99.06940585621388,2548.563303108086,0.02811496739782937
2021-01-07,151.86588828277587,1,625.8647091506195,2021-01-26,153.02345610046387,signal,95.40974042276972,95.4099453954572,533.6611597211936,0.007622303012066789
2021-02-05,149.17455610656737,1,641.1644107076045,2021-03-24,136.99146755981445,signal,91.73973496429704,91.73780505804037,-7994.840328699734,-0.08167001709091426
2021-05-13,135.99795767211913,1,648.0517538356066,2021-05-24,137.9210104904175,signal,88.75683386328578,88.75716761199392,1068.7237501414872,0.014140306598829255
2021-09-29,144.87240305328368,1,656.0773342390254,2021-10-14,145.29731011962892,signal,95.18688594769355,95.1869794373948,88.39803000202235,0.002932974516816511
2022-09-28,103.18156225204467,1,921.16748308021,2022-11-11,97.5212146949768,signal,92.44043594374828,92.4391555215038,-5399.007703968673,-0.054858130013976436
2023-10-03,86.35315255737304,1,1100.6836135698743,2023-11-08,88.43576335525513,signal,96.19364778933624,96.19424491177337,2099.907685971396,0.02411736845969137
2024-09-26,98.11903469467163,1,968.695832523937,2024-11-06,89.59517938995361,signal,90.91898844464129,90.91694691809485,-8438.859046080126,-0.08687259644617051
2024-12-16,90.59527805328369,1,961.5621432505939,2025-01-03,87.29000091552734,end_of_data,43.55649486664947,43.53472750289912,-3265.3205909877315,-0.036483989108266224
