entry_date,entry_price,side,shares,exit_date,exit_price,exit_reason,commission_paid,slippage_paid,pnl,pnl_pct
2019-07-08,50.22760063934326,1,1892.336062048509,2019-08-06,49.05296063995362,signal,93.93609318461516,93.93556096508243,-2410.6852849193524,-0.023386345046104928
2019-09-11,54.54476058197021,1,1702.1889236564855,2019-12-04,65.23486808013917,signal,101.94377859416473,101.94835322687868,17992.690444259297,0.1959877976199711
2019-12-09,67.53375,1,1629.4665869608193,2020-01-03,74.35749816894531,end_of_data,55.02199455858262,54.99449730992394,11009.053147262955,0.10104204444363463
2020-01-07,74.99747908401488,1,1267.342598189525,2020-01-28,78.11092652511597,signal,97.02040228466578,97.02141299114507,3751.762754055769,0.04151402792636927
2020-01-30,80.17506963729858,1,1231.1267527138464,2020-02-24,74.27784494018555,signal,95.07555758548357,95.07376629614572,-7450.380415262292,-0.07355434455861776
2020-04-14,70.035,1,1309.554337745382,2020-04-22,68.36829508972168,signal,90.62331772149957,90.62279471702675,-2363.8867574350184,-0.02379817106130233
2020-05-01,71.59828125,1,1250.783620996956,2020-07-02,91.02749633789062,end_of_data,44.77697873951673,44.75460143879662,24212.212420582215,0.2713642666930727
2020-07-07,93.8994271659851,1,1012.2266223412147,2020-09-21,104.48773091506959,signal,100.4063814701293,100.40908601311986,10516.947472775362,0.11276217617779127
2020-10-13,125.33263164138793,1,838.8799516796787,2020-10-29,112.31381774520875,signal,99.67842098913772,99.67571560255928,-11120.57610874522,-0.10387409667922465
2020-12-02,122.08100664138793,1,775.4190785149475,2021-01-04,129.41000366210938,end_of_data,47.33197083702111,47.308316678674274,5588.403828730923,0.060033884240898505
2021-01-06,127.78386122131347,1,743.8145873161855,2021-02-23,123.69812213516236,signal,93.52798383387645,93.52724745759392,-3226.0875635385655,-0.03197382711009855
2021-04-08,129.0144719467163,1,713.6414879998764,2021-05-12,123.33830152511598,signal,90.04470438066706,90.04371420390228,-4230.839124396306,-0.04399638533531813
2021-06-15,130.00497244262695,1,677.9306634210876,2021-07-02,139.9600067138672,end_of_data,44.06717860803515,44.04515603001845,6660.710653243505,0.07657425777028282
2021-07-07,143.61176328277588,1,661.8364528597049,2021-07-20,143.38827671051027,signal,94.97354421987498,94.97353098536027,-337.8586354552832,-0.0015561856992560852
2021-08-13,149.04448622131346,1,636.1633776880375,2021-09-13,150.55468988037111,signal,95.2970119107004,95.29727591906259,770.1419729131861,0.01013256979406263
2021-10-18,143.5217219467163,1,666.3745449338301,2021-11-11,148.88552671051025,signal,97.42637362965633,97.42729156221523,3379.4492933952324,0.037372773201434395
2021-11-18,153.7868617172241,1,643.3833509417956,2022-01-04,179.6999969482422,end_of_data,49.47195321122509,49.44722959641255,16573.16059553268,0.1685003188287042
2022-01-06,172.7863469467163,1,550.0868655398488,2022-01-07,172.80355438995363,signal,95.05223279425718,95.05225892370002,-180.6389032035744,9.958797984577217e-05
2022-02-01,174.09699950408935,1,545.4783959791762,2022-02-23,165.45722328948975,signal,92.60974639869866,92.60859134802735,-4898.029608905558,-0.04962622123993965
2022-03-22,165.59274950408934,1,545.9098889494715,2022-04-12,167.93599427032473,signal,91.03831973767355,91.03866229744254,1097.123508081874,0.01415064834210944
2022-07-08,145.33262450408935,1,653.999749363403,2022-08-29,161.06941889953615,signal,100.1934297952028,100.19602780909695,10091.470132801307,0.10828122349778391
2022-10-24,147.26359744262695,1,711.2037578384576,2022-11-04,142.0189513397217,signal,102.86941788554665,102.86851109965352,-3935.749945904236,-0.03561400233311929
2023-01-12,133.9469448852539,1,709.5906523394226,2023-02-22,148.7955601196289,signal,100.31571928524863,100.31837847449346,10335.804472737495,0.1108544524632129
2023-03-07,153.7768469467163,1,682.5915341038091,2023-04-26,162.97846755981448,signal,108.10724803227367,108.10884529653954,6064.732237207109,0.05983749046621134
2023-04-28,168.57425049591063,1,657.4782605816009,2023-07-03,192.4600067138672,end_of_data,55.4169524974492,55.38925786850717,15593.559240492279,0.14169279203490204
2023-07-06,189.93491633605956,1,500.4214171544351,2023-07-11,189.06542366027833,signal,94.82994362149006,94.829858550756,-624.7725591920914,-0.004577845361738553
2023-07-20,195.18754133605955,1,484.3741668369567,2023-08-04,185.4272442703247,signal,92.17998483195964,92.17882596771815,-4911.994570096187,-0.05000471341011614
2023-08-24,180.76033316802977,1,497.6904322176735,2023-09-08,178.2608311004639,signal,89.34069921003947,89.34041055055962,-1422.659374096433,-0.013827713324927382
2023-10-09,176.89840255737303,1,501.3917633968728,2023-10-23,170.82454866027834,signal,87.1727118422915,87.1719722901889,-3219.7250002117567,-0.03433526707582779
2023-11-07,179.26958267211913,1,478.15132597198084,2024-01-03,184.12789122009278,signal,86.8794919982147,86.88009446989884,2149.247087726496,0.027100573759126778
2024-01-19,189.4246668319702,1,501.7693924958158,2024-03-05,170.67461450958254,signal,90.34339881846539,90.34106935312415,-9588.886831240807,-0.09898421697645088
2024-03-21,177.1385280532837,1,485.60508355977174,2024-04-03,168.70559828948976,signal,83.97183293566937,83.97083015998186,-4263.016225696492,-0.047606412091542816
2024-04-12,174.34712450408935,1,470.59733149039,2024-04-19,166.12690171051025,signal,80.11308408918984,80.11213701349432,-4028.640132017486,-0.04714859976590147
2024-05-06,182.44118110656737,1,429.1482543782843,2024-07-03,221.5500030517578,end_of_data,39.14715719929791,39.127593402591245,16705.207917967728,0.21436400328030225
2024-07-08,227.20354133605954,1,418.33634916550034,2024-07-25,218.82052767944336,signal,93.29404033594332,93.29318692939738,-3693.506555378687,-0.03689649204990497
2024-10-16,231.71580610656736,1,395.42225771376184,2024-11-01,220.8595162200928,signal,89.47917786997073,89.47812703482279,-4471.775962209648,-0.0468517451135021
2024-12-03,239.92990255737303,1,364.524478739458,2025-01-03,243.2383206100464,signal,88.06332234678683,88.06364586252715,1029.8723978936605,0.013789102639602202
2025-07-02,209.01445866394042,1,454.74126817618946,2025-07-03,213.5500030517578,end_of_data,47.52375,47.49999999999411,1967.4754567854873,0.021699668132096894
2025-07-08,210.20505610656738,1,452.1656222760593,2025-07-30,211.79404389953615,signal,95.4067428270984,95.40694630024143,527.6719650694442,0.0075592272726456855
2025-08-08,220.9404168319702,1,432.87562456723396,2025-08-21,226.15686927032473,signal,96.7687584819231,96.76934719301732,2064.53700160305,0.02361022267067492
2025-09-04,238.56922194671628,1,409.49954811008985,2025-09-11,226.7665648803711,signal,95.2773972125727,95.27621273592635,-5023.736345115208,-0.049472672836990084
2025-09-22,248.42415305328367,1,374.39842017246826,2025-10-13,249.25531488037112,signal,93.16520327331747,93.16530436104748,124.85516733483553,0.003345736784736708
2025-10-21,262.0109448852539,1,355.7745783653876,2026-01-02,271.010009765625,end_of_data,46.608416721834,46.585124159743934,3108.444972615225,0.034346141090831894
