entry_date,entry_price,side,shares,exit_date,exit_price,exit_reason,commission_paid,slippage_paid,pnl,pnl_pct
2019-07-08,297.1585147705078,1,319.85453983509143,2019-08-07,284.2577938995361,signal,92.98432293113719,92.98331458842762,-4312.321775245167,-0.04341359991294458
2019-09-09,299.2895846557617,1,304.17738853597854,2019-10-03,287.66609255981444,signal,89.26932254090036,89.26846095714484,-3714.141254911869,-0.03883694151708095
2019-10-16,298.51918011474606,1,293.42092281676594,2020-01-03,322.4100036621094,end_of_data,43.795886653886576,43.77399965405075,6922.497605811927,0.0800311173914523
2020-01-07,323.1814990081787,1,294.0994465700979,2020-03-04,305.96693511962894,signal,92.51610314371597,92.51486057399453,-5247.824676285791,-0.05326593242923883
2020-06-01,303.7718051147461,1,296.76061235788234,2020-07-02,312.2300109863281,end_of_data,45.07375345145567,45.05122783753488,2419.937372610731,0.027843946439950473
2020-07-07,315.53769488525387,1,301.22391568641035,2020-10-01,337.52115744018556,signal,98.35847233557104,98.36015241176173,6425.22604639477,0.06966984582595126
2020-10-22,343.13147145080563,1,295.0705896029314,2021-01-04,368.7900085449219,end_of_data,50.62400279615533,50.59870344442425,7469.856962468986,0.07477756845103278
2021-01-06,369.89484645080563,1,256.95816233179363,2021-07-02,433.7200012207031,end_of_data,47.52374999999999,47.49999999999135,16305.370730215183,0.17254945664236487
2021-07-07,433.87683366394043,1,219.0656256001423,2021-10-08,439.260270980835,signal,95.63716303185234,95.63748177272983,988.0514189000787,0.012407754687968175
2021-11-08,469.93486221313475,1,204.4485883754074,2022-01-04,477.54998779296875,end_of_data,48.03875960393349,48.01475222781633,1460.8481632667674,0.01620464066864713
2022-01-06,468.12395965576167,1,203.03916951803504,2022-01-25,432.8434675598145,signal,91.46583909232564,91.4640711278725,-7346.251725568914,-0.0753657046776477
2022-03-30,460.5701663360596,1,191.39755925880831,2022-04-11,443.88793035888676,signal,86.55553607963998,86.55475948350943,-3366.0495445735064,-0.0362208349487414
2022-08-17,426.1229586639404,1,223.0518165414286,2022-09-21,385.91693035888676,signal,90.56348617532083,90.56126680870521,-9149.152402342332,-0.0943531144886326
2022-12-01,408.9743740081787,1,211.3519601321649,2023-01-04,382.98840267944337,signal,83.69144260232045,83.69009047834479,-5659.567509347115,-0.06353936329569554
2023-02-01,405.41259645080567,1,234.4463414114303,2023-07-03,443.7900085449219,end_of_data,47.52375,47.50000000000032,8902.420108304323,0.09466260404854765
2023-07-06,439.63972343444823,1,216.1940674002173,2023-10-31,415.97190267944336,signal,92.4890787822381,92.48782269358176,-5301.819336999604,-0.0538345820302879
2023-11-09,438.64920767211913,1,205.39455914459307,2024-01-04,467.2799987792969,end_of_data,45.048080314469985,45.02556753070295,5790.535069574536,0.0652703586520067
2024-01-08,468.6642076721191,1,202.80511812947302,2024-07-03,551.4600219726562,end_of_data,47.52374999999999,47.49999999999557,16696.391149846346,0.17666340408581327
2024-07-08,555.717722442627,1,171.03557464790558,2025-01-03,591.9500122070312,end_of_data,47.52375,47.49999999999953,6101.986750664318,0.06519908993570911
2025-01-07,597.7186929016113,1,159.01711144182917,2025-03-10,567.306231842041,signal,92.62944914523501,92.62826327687446,-5021.359421952093,-0.05088089333785717
2025-05-16,591.545625,1,152.75721843426393,2025-07-03,625.3400268554688,end_of_data,45.18143212597909,45.15885269962511,5071.998541265535,0.05712898621381712
2025-07-08,621.6606505737304,1,152.8929005113653,2026-01-02,683.1699829101562,end_of_data,47.52375,47.49999999999499,9309.31647943366,0.09894358325504249
