entry_date,entry_price,side,shares,exit_date,exit_price,exit_reason,commission_paid,slippage_paid,pnl,pnl_pct
2019-07-08,189.90490255737305,1,500.50050693812267,2019-08-05,183.33827767944337,signal,93.40420045986184,93.40340216094039,-3473.4066828970967,-0.03457849054710849
2019-09-06,192.19605610656737,1,477.81881294599714,2019-10-03,183.93798377990723,signal,89.86196022356881,89.86099622323151,-4125.585272793738,-0.04296691874926539
2019-10-28,196.6482780532837,1,447.49456858261823,2020-01-03,214.17999267578125,end_of_data,43.999518174984466,43.97752941027862,7757.370023922863,0.08915264753931473
2020-01-07,215.74781938934325,1,440.54906450050925,2020-02-25,223.13837500000002,signal,96.67545118020692,96.67628932485282,3062.5506199087727,0.03425552866107817
2020-04-07,202.4711801147461,1,484.2677666075043,2020-07-02,252.19000244140625,end_of_data,49.02513309827692,49.00063278188432,23979.197280606877,0.24555999672883377
2020-07-07,258.2590698852539,1,368.0316050167384,2020-09-09,275.5021946411133,signal,98.22050743970141,98.22211849893715,6149.572253464156,0.0667667732386732
2020-10-02,276.1579990081787,1,365.6815037709656,2020-10-27,281.35925000000003,signal,101.93687299778134,101.93737398243258,1698.1270371992348,0.018834330385147702
2020-11-06,293.8568464508056,1,349.47897187790005,2021-01-04,309.30999755859375,end_of_data,51.34839428845474,51.32273292197818,5297.880234213195,0.05258734412497401
2021-01-06,307.1535,1,309.44625407166126,2021-02-23,316.8415,signal,96.54645765472313,96.54723127036198,2804.8216205211656,0.0315412326410085
2021-04-05,327.2935698852539,1,298.8301254854965,2021-05-05,332.08387500000003,signal,98.52092229868325,98.52130480085899,1234.4452514538689,0.014636111294290322
2021-06-08,338.5691938934326,1,292.6200367129282,2021-07-02,358.6400146484375,end_of_data,49.53606497348138,49.51130931882037,5774.07693189583,0.05928129645877456
2021-07-07,362.63123721313474,1,262.1051091198089,2021-08-19,360.0398912200928,signal,94.70789748786326,94.70775136353527,-868.6206731248398,-0.007145953594502097
2021-08-24,374.02691633605957,1,252.15274889722264,2021-09-21,367.3961965789795,signal,93.4759380087315,93.47554338905526,-1858.9056953126442,-0.017727921353987264
2021-10-15,368.0639448852539,1,251.67887042268842,2021-12-02,385.6070877990723,signal,94.84153708814614,94.84266460839297,4225.554190517075,0.04766330187350354
2021-12-28,404.60219389343257,1,239.0999073979193,2022-01-04,396.4700012207031,end_of_data,48.37017354645736,48.34600054617307,-2041.1226890842788,-0.020099230294513326
2022-01-06,382.6112234344482,1,248.41796104887194,2022-01-07,383.83798377990723,signal,95.19987465185727,95.19997463916974,114.34945442351079,0.0032062842653888257
2022-03-21,350.37511221313474,1,271.8420006831118,2022-04-12,345.5871297607422,signal,94.59588412904134,94.59558238424836,-1490.7661956073139,-0.013665304085525354
2022-05-31,309.22454232788084,1,303.7263650645138,2022-06-13,279.61012500000004,signal,89.42230656573474,89.420080250905,-9173.521715317429,-0.09576994472993572
2022-08-01,313.8068188934326,1,302.8853876890346,2022-08-22,318.34075,signal,95.73413074048402,95.73449798946677,1181.7928522380967,0.014448159930224858
2023-02-02,307.72379232788086,1,308.8727695735874,2023-02-10,299.330270980835,signal,93.75123490753145,93.75061021262654,-2780.0320300572416,-0.027276153343718468
2023-03-31,316.06795866394043,1,292.64040891224226,2023-04-26,313.2832824401856,signal,92.08680227306931,92.08662156751592,-999.0822126484013,-0.008810371780569093
2023-05-01,322.25104133605953,1,284.3502992360604,2023-06-27,359.070375,signal,96.8669743055475,96.86961592007248,10275.85195478821,0.11425667861703959
2023-07-06,366.69326477050777,1,259.2016519842129,2023-08-10,370.78451622009277,signal,95.57772956720761,95.57801857648525,869.3033862715454,0.011157149156108659
2023-11-13,376.9784035491943,1,254.56258170171253,2024-01-04,396.2799987792969,end_of_data,47.98229782663647,47.95831866729298,4817.523296242443,0.05120079837036018
2024-01-19,415.42761122131344,1,228.7943733941284,2024-02-01,418.58061354064944,signal,95.40819459498135,95.40839879436501,530.5725965733666,0.00758977553289375
2024-02-08,432.32604034423827,1,221.2276623689314,2024-03-18,438.51064598083497,signal,96.32658221040116,96.32694834359563,1175.5523171040081,0.014305420121518031
2024-05-06,437.5186377868652,1,221.3651268007903,2024-05-31,451.55410877990727,signal,98.40485063944024,98.40565198179357,2910.1533134623346,0.03207970993884679
2024-06-06,464.45211122131343,1,214.68505881452708,2024-06-25,475.83197232055664,signal,100.93247188877504,100.93310789357852,2241.220569609825,0.02450168881635384
2024-07-08,496.7782637786865,1,191.3278155067256,2024-07-25,463.4881412200928,signal,91.86283678645655,91.86126742015324,-6553.050531293506,-0.0670120353200967
2024-09-27,490.74525,1,181.1658923533544,2025-01-03,518.5800170898438,end_of_data,44.453150567209995,44.43093509965992,4953.826332612454,0.05671938157291123
2025-01-07,525.8528218688964,1,180.74924398465407,2025-02-28,499.8799398803711,signal,92.7002106082357,92.69906013828366,-4879.978054275101,-0.04939192281257876
2025-05-02,486.78327854919434,1,185.9088325050224,2025-07-03,556.219970703125,end_of_data,45.24865549902392,45.22604247778494,12818.419673371089,0.14264395515162165
2025-07-08,553.6566948852538,1,171.67226708908257,2025-08-04,558.7704627990723,signal,95.48644606556631,95.48668941024864,686.9189956568138,0.009236351625583339
