Date,Open,High,Low,Close,Volume
2016-07-05,141.85,142.91,141.7,142.33,8840800
2016-07-06,142.79,143.0,141.96,142.56,14352800
2016-07-07,142.09,143.19,141.78,142.55,9676400
2016-07-08,142.92,143.62,142.36,143.6,10355300
2016-07-11,143.05,143.47,142.24,142.34,8099000
2016-07-12,140.42,140.86,139.64,140.0,15810600
2016-07-13,141.37,141.77,140.95,141.65,8181700
2016-07-14,139.28,139.84,139.09,139.59,10817000
2016-07-15,138.89,139.11,138.18,138.39,9958600
2016-07-18,139.07,139.26,137.73,138.26,5955900
2016-07-19,138.94,139.31,138.4,139.04,8073900
2016-07-20,138.23,138.51,137.91,138.28,6942500
2016-07-21,137.04,138.62,136.99,138.56,10398400
2016-07-22,137.93,139.24,137.87,138.8,5811400
2016-07-25,138.94,139.26,138.59,138.7,4243800
2016-07-26,139.52,139.52,138.46,138.92,5243400
2016-07-27,139.55,140.65,139.4,140.65,8508100
2016-07-28,139.8,140.84,139.71,140.39,7336100
2016-07-29,140.45,141.68,140.22,141.56,8766700
2016-08-01,139.78,140.5,139.61,139.77,9809300
2016-08-02,137.83,139.26,137.5,138.33,10051200
2016-08-03,138.6,138.78,137.91,138.41,4930600
2016-08-04,139.46,140.16,139.27,139.45,5646000
2016-08-05,139.05,139.18,137.82,138.0,7778600
2016-08-08,137.6,138.54,137.32,138.26,5185200
2016-08-09,138.71,139.72,138.62,139.62,5503200
2016-08-10,139.9,140.51,139.47,140.16,5843500
2016-08-11,140.06,140.08,138.54,138.91,7624600
2016-08-12,140.41,140.86,139.87,140.08,7989600
2016-08-15,139.34,139.63,138.75,138.76,5108600
2016-08-16,138.98,139.15,138.23,138.39,6182700
2016-08-17,138.63,139.44,138.5,139.22,5002000
2016-08-18,139.2,139.76,138.79,139.44,3805200
2016-08-19,138.64,139.05,138.1,138.71,5516300
2016-08-22,139.65,140.14,139.37,139.88,5549700
2016-08-23,140.27,140.59,139.67,140.03,6841400
2016-08-24,140.1,140.19,139.39,139.7,6027800
2016-08-25,139.26,139.78,138.96,139.17,5855500
2016-08-26,139.73,140.69,138.22,138.36,12962500
2016-08-29,139.38,140.35,139.21,140.21,7310400
2016-08-30,140.17,140.26,139.67,139.67,5161800
2016-08-31,139.66,140.17,139.34,139.87,7349700
2016-09-01,138.62,140.1,138.57,139.77,9149100
2016-09-02,138.96,139.05,138.17,138.63,8397000
2016-09-06,138.71,140.08,138.51,139.64,8542600
2016-09-07,140.37,140.42,139.54,139.54,5421800
2016-09-08,138.86,139.27,137.26,137.79,14301500
2016-09-09,136.07,136.12,135.41,135.52,13347700
