Date,Open,High,Low,Close,Volume
2016-07-05,23.8475,23.85,23.615,23.7475,110820800
2016-07-06,23.65,23.915,23.5925,23.8825,123796400
2016-07-07,23.925,24.125,23.905,23.985,100558400
2016-07-08,24.1225,24.2225,24.0125,24.17,115648400
2016-07-11,24.1875,24.4125,24.1825,24.245,95179600
2016-07-12,24.2925,24.425,24.28,24.355,96670000
2016-07-13,24.3525,24.4175,24.21,24.2175,103568800
2016-07-14,24.3475,24.7475,24.33,24.6975,155676000
2016-07-15,24.73,24.825,24.625,24.695,120548000
2016-07-18,24.675,25.0325,24.65,24.9575,145975600
2016-07-19,24.89,25.0,24.835,24.9675,95119600
2016-07-20,25.0,25.115,24.935,24.99,105104000
2016-07-21,24.9575,25.25,24.7825,24.8575,130808000
2016-07-22,24.815,24.825,24.5775,24.665,113254800
2016-07-25,24.5625,24.71,24.23,24.335,161531600
2016-07-26,24.205,24.4925,24.105,24.1675,224959200
2016-07-27,26.0675,26.0875,25.6875,25.7375,369379200
2016-07-28,25.7075,26.1125,25.705,26.085,159479200
2016-07-29,26.0475,26.1375,25.92,26.0525,110934800
2016-08-01,26.1025,26.5375,26.1025,26.5125,152671600
2016-08-02,26.5125,26.5175,26.0,26.12,135266400
2016-08-03,26.2025,26.46,26.1925,26.4475,120810400
2016-08-04,26.395,26.5,26.32,26.4675,109634800
2016-08-05,26.5675,26.9125,26.545,26.87,162213600
2016-08-08,26.88,27.0925,26.79,27.0925,112148800
2016-08-09,27.0575,27.235,27.0025,27.2025,105260800
2016-08-10,27.1775,27.225,26.94,27.0,96034000
2016-08-11,27.13,27.2325,26.9625,26.9825,109938000
2016-08-12,26.945,27.11,26.945,27.045,74641600
2016-08-15,27.035,27.385,27.02,27.37,103472800
2016-08-16,27.4075,27.5575,27.3025,27.345,135177600
2016-08-17,27.275,27.3425,27.085,27.305,101424000
2016-08-18,27.3075,27.4,27.255,27.27,87938800
2016-08-19,27.1925,27.4225,27.09,27.34,101472400
2016-08-22,27.215,27.275,26.9625,27.1275,103280800
2016-08-23,27.1475,27.33,27.1325,27.2125,85030800
2016-08-24,27.1425,27.1875,26.92,27.0075,94700400
2016-08-25,26.8475,26.97,26.67,26.8925,100344800
2016-08-26,26.8525,26.9875,26.5775,26.735,111065200
2016-08-29,26.655,26.86,26.5725,26.705,99881200
2016-08-30,26.45,26.625,26.375,26.5,99455600
2016-08-31,26.415,26.6425,26.41,26.525,118649600
2016-09-01,26.535,26.7,26.405,26.6825,106806000
2016-09-02,26.925,27.0,26.705,26.9325,107210000
2016-09-06,26.975,27.075,26.8775,26.925,107521600
