Date,Open,High,Low,Close,Volume
2016-07-05,208.95,209.08,207.71,208.41,109803700
2016-07-06,207.83,209.8,207.06,209.66,96021500
2016-07-07,209.87,210.65,208.63,209.53,85593800
2016-07-08,211.05,212.94,210.78,212.65,133971000
2016-07-11,213.19,214.07,212.95,213.4,73633900
2016-07-12,214.53,215.3,213.43,214.95,101275600
2016-07-13,215.44,215.45,214.35,214.92,87324100
2016-07-14,216.4,216.67,215.66,216.12,91230900
2016-07-15,216.78,217.01,215.31,215.83,107155400
2016-07-18,215.97,216.6,215.67,216.41,58725900
2016-07-19,215.92,216.23,215.63,216.19,54345700
2016-07-20,216.19,217.37,216.19,217.09,58159500
2016-07-21,216.96,217.22,215.75,216.27,67777300
2016-07-22,216.41,217.3,216.1,217.24,62787500
2016-07-25,217.0,217.06,215.97,216.65,55873100
2016-07-26,216.53,217.17,215.76,216.75,70080500
2016-07-27,217.19,217.27,215.62,216.52,84083900
2016-07-28,216.29,217.11,215.75,216.77,65035700
2016-07-29,216.46,217.54,216.13,217.12,79519400
2016-08-01,217.19,217.65,216.41,216.94,73311400
2016-08-02,216.65,216.83,214.57,215.55,92295500
2016-08-03,215.48,216.25,215.13,216.18,53993600
2016-08-04,216.31,216.78,214.25,216.41,46585500
2016-08-05,216.41,218.23,216.41,218.18,71892200
2016-08-08,218.4,218.52,217.74,218.05,39906500
2016-08-09,218.13,218.76,217.8,218.18,51251700
2016-08-10,218.31,218.4,217.23,217.64,57941100
2016-08-11,218.26,218.94,217.95,218.65,72504300
2016-08-12,218.29,218.71,217.99,218.46,61313500
2016-08-15,218.89,219.5,218.88,219.09,49813500
2016-08-16,218.6,218.68,217.96,217.96,53213600
2016-08-17,218.0,218.53,217.02,218.37,75134300
2016-08-18,218.34,218.9,218.21,218.86,52989300
2016-08-19,218.31,218.75,217.74,218.54,75443000
2016-08-22,218.26,218.8,217.83,218.53,61368800
2016-08-23,219.25,219.6,218.9,218.97,53399200
2016-08-24,218.8,218.91,217.36,217.85,71728900
2016-08-25,217.4,218.19,217.22,217.7,69224800
2016-08-26,217.92,219.12,216.25,217.29,122506300
2016-08-29,217.44,218.67,217.4,218.36,70502200
2016-08-30,218.26,218.59,217.35,218.0,58114500
2016-08-31,217.61,217.75,216.47,217.38,85269500
2016-09-01,217.37,217.73,216.03,217.39,97844200
2016-09-02,218.39,218.87,217.7,218.37,79293900
2016-09-06,218.7,219.12,217.86,219.03,56702100
2016-09-07,218.84,219.22,218.3,219.01,76554900
2016-09-08,218.62,218.94,218.15,218.51,74102900
2016-09-09,216.97,217.03,213.25,213.28,221589100
2016-09-12,212.39,216.81,212.31,216.34,168110900
2016-09-13,214.84,215.15,212.5,213.23,182828800
2016-09-14,213.29,214.7,212.5,213.15,134185500
2016-09-15,212.96,215.73,212.75,215.28,134427900
2016-09-16,213.48,213.69,212.57,213.37,155236400
2016-09-19,214.13,214.88,213.03,213.41,80250500
2016-09-20,214.41,214.59,213.38,213.42,69665300
2016-09-21,214.24,216.03,213.44,215.82,110284400
2016-09-22,217.0,217.53,216.71,217.18,76678700
2016-09-23,216.72,216.88,215.88,215.99,73630900
2016-09-26,215.02,215.23,214.01,214.24,89827300
2016-09-27,214.05,215.68,213.62,215.57,78494800
2016-09-28,215.83,216.82,214.71,216.64,87411000
2016-09-29,216.4,216.87,214.04,214.68,128070600
2016-09-30,215.65,217.12,215.36,216.3,117202900
2016-10-03,215.82,216.04,215.04,215.78,83512100
2016-10-04,215.91,216.17,213.99,214.68,119948100
2016-10-05,215.41,216.13,215.33,215.63,72816000
2016-10-06,215.37,216.04,214.74,215.78,62927400
2016-10-07,216.1,216.3,214.19,215.04,89788300
2016-10-10,216.16,216.7,215.99,216.16,51855000
2016-10-11,215.66,215.74,212.58,213.43,130367400
2016-10-12,213.59,214.32,213.01,213.71,73866100
2016-10-13,212.16,213.59,211.21,213.01,101357000
2016-10-14,214.15,214.69,213.03,213.12,93346200
2016-10-17,213.09,213.39,212.17,212.38,58275700
2016-10-18,214.24,214.31,213.27,213.71,76869700
2016-10-19,214.02,214.64,213.6,214.28,66519200
2016-10-20,213.87,214.53,213.11,213.88,73639800
2016-10-21,213.88,214.08,212.76,213.98,89089100
2016-10-24,215.0,215.32,214.48,214.89,60146600
2016-10-25,214.68,214.98,213.98,214.17,66542300
2016-10-26,213.21,214.42,212.93,213.74,75705500
2016-10-27,214.58,214.62,213.08,213.17,77220200
2016-10-28,213.14,213.93,211.71,212.54,140623200
2016-10-31,212.93,213.19,212.36,212.55,61272500
2016-11-01,212.93,212.99,209.6,211.01,122781800
2016-11-02,210.65,211.1,209.23,209.74,103330800
2016-11-03,209.99,210.24,208.46,208.78,88939300
2016-11-04,208.91,209.89,208.38,208.55,109122100
2016-11-07,208.55,213.19,208.55,213.15,109794900
2016-11-08,212.69,214.77,212.38,214.11,106772100
2016-11-09,212.37,217.1,212.34,216.38,258429000
2016-11-10,217.3,218.31,215.22,216.92,172113300
2016-11-11,216.08,216.7,215.32,216.42,100552700
2016-11-14,217.03,217.27,215.72,216.59,94580000
2016-11-15,217.04,218.28,216.8,218.28,91652600
2016-11-16,217.56,218.14,217.42,217.87,65617700
2016-11-17,218.05,219.06,217.92,218.99,69797200
2016-11-18,219.07,219.27,218.29,218.5,86265800
2016-11-21,219.17,220.18,219.0,220.15,72402600
2016-11-22,220.51,220.79,219.73,220.58,67429000
2016-11-23,219.98,220.76,219.75,220.7,56620200
2016-11-25,221.1,221.56,221.01,221.52,37872300
2016-11-28,221.16,221.48,220.36,220.48,76572500
2016-11-29,220.52,221.44,220.17,220.91,69886700
2016-11-30,221.63,221.82,220.31,220.38,113291800
2016-12-01,220.73,220.73,219.15,219.57,79040500
2016-12-02,219.67,220.25,219.26,219.68,74840300
2016-12-05,220.65,221.4,220.42,221.0,67837800
2016-12-06,221.22,221.74,220.66,221.7,59877400
2016-12-07,221.52,224.67,221.38,224.6,110738100
2016-12-08,224.57,225.7,224.26,225.15,99714400
2016-12-09,225.41,226.53,225.37,226.51,88005800
2016-12-12,226.4,226.96,225.76,226.25,102016100
2016-12-13,227.02,228.34,227.0,227.76,110477500
2016-12-14,227.41,228.23,225.37,225.88,142501800
2016-12-15,226.16,227.81,225.89,226.81,124972600
